iteration,x,y,energie cinetique,energie potentielle,energie mecanique
0,0.0020,9.9960,0.0250,99.9600,99.9850
1,0.0040,9.9880,0.0850,99.8800,99.9650
2,0.0060,9.9760,0.1850,99.7600,99.9450
3,0.0080,9.9600,0.3250,99.6000,99.9250
4,0.0100,9.9400,0.5050,99.4000,99.9050
5,0.0120,9.9160,0.7250,99.1600,99.8850
6,0.0140,9.8880,0.9850,98.8800,99.8650
7,0.0160,9.8560,1.2850,98.5600,99.8450
8,0.0180,9.8200,1.6250,98.2000,99.8250
9,0.0200,9.7800,2.0050,97.8000,99.8050
10,0.0220,9.7360,2.4250,97.3600,99.7850
11,0.0240,9.6880,2.8850,96.8800,99.7650
12,0.0260,9.6360,3.3850,96.3600,99.7450
13,0.0280,9.5800,3.9250,95.8000,99.7250
14,0.0300,9.5200,4.5050,95.2000,99.7050
15,0.0320,9.4560,5.1250,94.5600,99.6850
16,0.0340,9.3880,5.7850,93.8800,99.6650
17,0.0360,9.3160,6.4850,93.1600,99.6450
18,0.0380,9.2400,7.2250,92.4000,99.6250
19,0.0400,9.1600,8.0050,91.6000,99.6050
20,0.0420,9.0760,8.8250,90.7600,99.5850
21,0.0440,8.9880,9.6850,89.8800,99.5650
22,0.0460,8.8960,10.5850,88.9600,99.5450
23,0.0480,8.8000,11.5250,88.0000,99.5250
24,0.0500,8.7000,12.5050,87.0000,99.5050
25,0.0520,8.5960,13.5250,85.9600,99.4850
26,0.0540,8.4880,14.5850,84.8800,99.4650
27,0.0560,8.3760,15.6850,83.7600,99.4450
28,0.0580,8.2600,16.8250,82.6000,99.4250
29,0.0600,8.1400,18.0050,81.4000,99.4050
30,0.0620,8.0160,19.2250,80.1600,99.3850
31,0.0640,7.8880,20.4850,78.8800,99.3650
32,0.0660,7.7560,21.7850,77.5600,99.3450
33,0.0680,7.6200,23.1250,76.2000,99.3250
34,0.0700,7.4800,24.5050,74.8000,99.3050
35,0.0720,7.3360,25.9250,73.3600,99.2850
36,0.0740,7.1880,27.3850,71.8800,99.2650
37,0.0760,7.0360,28.8850,70.3600,99.2450
38,0.0780,6.8800,30.4250,68.8000,99.2250
39,0.0800,6.7200,32.0050,67.2000,99.2050
40,0.0820,6.5560,33.6250,65.5600,99.1850
41,0.0840,6.3880,35.2850,63.8800,99.1650
42,0.0860,6.2160,36.9850,62.1600,99.1450
43,0.0880,6.0400,38.7250,60.4000,99.1250
44,0.0900,5.8600,40.5050,58.6000,99.1050
45,0.0920,5.6760,42.3250,56.7600,99.0850
46,0.0940,5.4880,44.1850,54.8800,99.0650
47,0.0960,5.2960,46.0850,52.9600,99.0450
48,0.1034785158872408620768221395,5.3980702536533406751254630177,48.02499999999993525899981945,53.980702536533406751254630177,102.00570253653334201025444963
49,0.1126796716648061521655518946,5.5898643769879211874761713776,46.08705876665413013549273585,55.898643769879211874761713776,101.98570253653334201025444963
50,0.1218808274423714422542816497,5.7776585003225016998268797375,44.18911753330832501198565225,57.776585003225016998268797375,101.96570253653334201025444962
51,0.1310819832199367323430114048,5.9614526236570822121775880974,42.331176299962519888478568655,59.614526236570822121775880974,101.94570253653334201025444963
52,0.1402831389975020224317411599,6.1412467469916627245282964573,40.513235066616714764971485055,61.412467469916627245282964573,101.92570253653334201025444963
53,0.1494842947750673125204709150,6.3170408703262432368790048172,38.735293833270909641464401454,63.170408703262432368790048172,101.90570253653334201025444963
54,0.1586854505526326026092006701,6.4888349936608237492297131771,36.997352599925104517957317856,64.888349936608237492297131771,101.88570253653334201025444963
55,0.1678866063301978926979304252,6.6566291169954042615804215370,35.299411366579299394450234256,66.566291169954042615804215370,101.86570253653334201025444963
56,0.1770877621077631827866601803,6.8204232403299847739311298969,33.641470133233494270943150658,68.204232403299847739311298969,101.84570253653334201025444963
57,0.1862889178853284728753899354,6.9802173636645652862818382568,32.023528899887689147436067059,69.802173636645652862818382568,101.82570253653334201025444963
58,0.1954900736628937629641196905,7.1360114869991457986325466167,30.44558766654188402392898346,71.360114869991457986325466167,101.80570253653334201025444963
59,0.2046912294404590530528494456,7.2878056103337263109832549766,28.907646433196078900421899862,72.878056103337263109832549766,101.78570253653334201025444963
60,0.2138923852180243431415792007,7.4355997336683068233339633365,27.409705199850273776914816262,74.355997336683068233339633365,101.76570253653334201025444963
61,0.2230935409955896332303089558,7.5793938570028873356846716964,25.951763966504468653407732664,75.793938570028873356846716964,101.74570253653334201025444963
62,0.2322946967731549233190387109,7.7191879803374678480353800563,24.533822733158663529900649065,77.191879803374678480353800563,101.72570253653334201025444963
63,0.2414958525507202134077684660,7.8549821036720483603860884162,23.155881499812858406393565466,78.549821036720483603860884162,101.70570253653334201025444963
64,0.2506970083282855034964982211,7.986776227006628872736796776,21.817940266467053282886481868,79.86776227006628872736796776,101.68570253653334201025444963
65,0.2598981641058507935852279762,8.114570350341209385087505136,20.519999033121248159379398268,81.14570350341209385087505136,101.66570253653334201025444963
66,0.2690993198834160836739577313,8.238364473675789897438213496,19.262057799775443035872314670,82.38364473675789897438213496,101.64570253653334201025444963
67,0.2783004756609813737626874864,8.358158597010370409788921856,18.044116566429637912365231071,83.58158597010370409788921856,101.62570253653334201025444963
68,0.2875016314385466638514172415,8.473952720344950922139630216,16.866175333083832788858147472,84.73952720344950922139630216,101.60570253653334201025444963
69,0.2967027872161119539401469966,8.585746843679531434490338576,15.728234099738027665351063874,85.85746843679531434490338576,101.58570253653334201025444963
70,0.3059039429936772440288767517,8.693540967014111946841046936,14.630292866392222541843980274,86.93540967014111946841046936,101.56570253653334201025444963
71,0.3151050987712425341176065068,8.797335090348692459191755296,13.572351633046417418336896676,87.97335090348692459191755296,101.54570253653334201025444964
72,0.3243062545488078242063362619,8.897129213683272971542463656,12.554410399700612294829813077,88.97129213683272971542463656,101.52570253653334201025444964
73,0.3335074103263731142950660170,8.992923337017853483893172016,11.576469166354807171322729478,89.92923337017853483893172016,101.50570253653334201025444964
74,0.3427085661039384043837957721,9.084717460352433996243880376,10.63852793300900204781564588,90.84717460352433996243880376,101.48570253653334201025444964
75,0.3519097218815036944725255272,9.172511583687014508594588736,9.74058669966319692430856228,91.72511583687014508594588736,101.46570253653334201025444964
76,0.3611108776590689845612552823,9.256305707021595020945297096,8.882645466317391800801478682,92.56305707021595020945297096,101.44570253653334201025444964
77,0.3703120334366342746499850374,9.336099830356175533296005456,8.064704232971586677294395083,93.36099830356175533296005456,101.42570253653334201025444964
78,0.3795131892141995647387147925,9.411893953690756045646713816,7.2867629996257815537873114845,94.11893953690756045646713816,101.40570253653334201025444964
79,0.3887143449917648548274445476,9.483688077025336557997422176,6.5488217662799764302802278855,94.83688077025336557997422176,101.38570253653334201025444965
80,0.3979155007693301449161743027,9.551482200359917070348130536,5.8508805329341713067731442865,95.51482200359917070348130536,101.36570253653334201025444965
81,0.4071166565468954350049040578,9.615276323694497582698838896,5.192939299588366183266060688,96.15276323694497582698838896,101.34570253653334201025444965
82,0.4163178123244607250936338129,9.675070447029078095049547256,4.574998066242561059758977089,96.75070447029078095049547256,101.32570253653334201025444965
83,0.4255189681020260151823635680,9.730864570363658607400255616,3.997056832896755936251893490,97.30864570363658607400255616,101.30570253653334201025444965
84,0.4347201238795913052710933231,9.782658693698239119750963976,3.4591155995509508127448098913,97.82658693698239119750963976,101.28570253653334201025444965
85,0.4439212796571565953598230782,9.830452817032819632101672336,2.9611743662051456892377262925,98.30452817032819632101672336,101.26570253653334201025444965
86,0.4531224354347218854485528333,9.874246940367400144452380696,2.5032331328593405657306426937,98.74246940367400144452380696,101.24570253653334201025444965
87,0.4623235912122871755372825884,9.914041063701980656803089056,2.0852918995135354422235590949,99.14041063701980656803089056,101.22570253653334201025444965
88,0.4715247469898524656260123435,9.949835187036561169153797416,1.7073506661677303187164754961,99.49835187036561169153797416,101.20570253653334201025444966
89,0.4807259027674177557147420986,9.981629310371141681504505776,1.3694094328219251952093918973,99.81629310371141681504505776,101.18570253653334201025444966
